iteration,offer,lbound,ubound
1,7.157964,1.491287,8.270211
1,8.006836,3.812220,6.414533
1,7.157964,1.491287,8.270211
1,9.554888,3.811457,8.233894
1,9.554888,3.811457,8.233894
1,7.717368,4.773247,8.086337
1,5.320444,2.453078,8.122654
1,8.656728,2.688833,6.607257
1,8.656728,2.688833,6.607257
1,1.297647,6.755882,8.033082
11,7.006664,2.437347,5.829765
11,7.006664,2.437347,5.829765
11,5.972666,3.842054,6.881252
11,4.943861,5.248741,7.682072
11,5.981375,3.824226,6.645749
11,7.010179,2.417540,5.844929
11,5.972666,3.842054,6.881252
11,7.010179,2.417540,5.844929
11,5.971973,3.828086,6.895929
11,2.680441,1.058382,8.031861
111,6.102300,3.312471,6.423938
111,6.102300,3.312471,6.423938
111,6.102295,3.312529,6.423946
111,6.102273,3.312758,6.423976
111,6.102268,3.312815,6.423983
111,6.102284,3.312643,6.423961
111,6.102268,3.312815,6.423983
111,6.102268,3.312815,6.423983
111,6.102268,3.312815,6.423983
111,5.780816,1.948607,2.506180
